user_id,method,run,recall@10,ndcg@10,mrr,arp@10,long_tail_share@10,genre_diversity@10,tokens_in,tokens_out,latency_s,parsed_ok
user_000021,random,0,0.5,0.38685280723454163,0.5,52.5,0.3,0.6,,,,
user_000021,popularity,0,0.0,0.0,0.0625,72.7,0.0,0.5,,,,
user_000021,item_knn,0,0.0,0.0,0.05263157894736842,63.9,0.1,0.5,,,,
user_000021,cbf,0,1.0,1.0,1.0,61.6,0.2,0.5,,,,
user_000021,claude_with_history,0,1.0,1.0,1.0,58.7,0.2,0.4,1099.0,43.0,3.054713487625122,True
user_000021,claude_with_history,1,1.0,1.0,1.0,58.7,0.2,0.4,1099.0,43.0,2.226134777069092,True
user_000021,claude_with_history,2,1.0,1.0,1.0,58.7,0.2,0.4,1099.0,43.0,2.041123151779175,True
user_000021,gpt41_with_history,0,1.0,0.6934264036172708,0.5,58.0,0.2,0.6,918.0,39.0,0.9780285358428955,True
user_000021,gpt41_with_history,1,1.0,0.6934264036172708,0.5,58.0,0.2,0.6,918.0,39.0,1.376697063446045,True
user_000021,gpt41_with_history,2,1.0,0.6934264036172708,0.5,58.0,0.2,0.6,918.0,39.0,0.8940060138702393,True
user_000021,claude_no_history,0,0.0,0.0,0.05263157894736842,59.3,0.2,0.5,393.0,43.0,2.200288772583008,True
user_000041,random,0,0.5,0.38685280723454163,0.5,73.4,0.1,0.6,,,,
user_000041,popularity,0,0.0,0.0,0.0625,86.2,0.0,0.2,,,,
user_000041,item_knn,0,1.0,0.5012658353418871,0.25,58.6,0.3,0.6,,,,
user_000041,cbf,0,0.0,0.0,0.05555555555555555,82.9,0.0,0.4,,,,
user_000041,claude_with_history,0,0.0,0.0,0.08333333333333333,70.2,0.2,0.3,1110.0,43.0,3.1712546348571777,True
user_000041,claude_with_history,1,0.0,0.0,0.08333333333333333,70.2,0.2,0.3,1110.0,43.0,3.0579559803009033,True
user_000041,claude_with_history,2,0.0,0.0,0.08333333333333333,70.2,0.2,0.3,1110.0,43.0,2.6753416061401367,True
user_000041,gpt41_with_history,0,0.5,0.18457569677956817,0.1111111111111111,60.3,0.3,0.5,935.0,39.0,1.679330825805664,True
user_000041,gpt41_with_history,1,0.5,0.18457569677956817,0.1111111111111111,60.3,0.3,0.5,935.0,39.0,0.6478579044342041,True
user_000041,gpt41_with_history,2,0.5,0.18457569677956817,0.1111111111111111,60.3,0.3,0.5,935.0,39.0,0.7222604751586914,True
user_000041,claude_no_history,0,0.5,0.2640681225725909,0.25,75.9,0.1,0.3,452.0,43.0,2.367656946182251,True
user_000121,random,0,0.5,0.19342640361727081,0.125,39.2,0.4,0.7,,,,
user_000121,popularity,0,0.0,0.0,0.07142857142857142,62.8,0.0,0.4,,,,
user_000121,item_knn,0,0.0,0.0,0.05263157894736842,39.9,0.3,0.4,,,,
user_000121,cbf,0,1.0,0.8175295903539445,1.0,44.7,0.2,0.6,,,,
user_000121,claude_with_history,0,0.5,0.38685280723454163,0.5,56.2,0.1,0.6,1064.0,43.0,3.2003159523010254,True
user_000121,claude_with_history,1,0.5,0.38685280723454163,0.5,56.2,0.1,0.6,1064.0,43.0,2.4830121994018555,True
user_000121,claude_with_history,2,0.5,0.38685280723454163,0.5,56.2,0.1,0.6,1064.0,43.0,2.393564462661743,True
user_000121,gpt41_with_history,0,0.5,0.6131471927654584,1.0,42.4,0.3,0.4,892.0,39.0,0.4947195053100586,True
user_000121,gpt41_with_history,1,0.5,0.6131471927654584,1.0,42.4,0.3,0.4,892.0,39.0,0.7775845527648926,True
user_000121,gpt41_with_history,2,0.5,0.6131471927654584,1.0,42.4,0.3,0.4,892.0,39.0,0.4804046154022217,True
user_000121,claude_no_history,0,0.0,0.0,0.05263157894736842,41.2,0.4,0.6,365.0,43.0,2.469538927078247,True
user_000161,random,0,0.6,0.384266559722312,0.25,54.0,0.2,1.0,,,,
user_000161,popularity,0,0.0,0.0,0.06666666666666667,76.9,0.0,0.5,,,,
user_000161,item_knn,0,0.0,0.0,0.08333333333333333,59.1,0.1,0.7,,,,
user_000161,cbf,0,0.4,0.2090905274901754,0.125,56.6,0.3,0.7,,,,
user_000161,claude_with_history,0,0.2,0.21398626473452756,0.5,58.0,0.1,0.7,1012.0,43.0,2.1086585521698,True
user_000161,claude_with_history,1,0.2,0.21398626473452756,0.5,58.0,0.1,0.7,1012.0,43.0,2.1633687019348145,True
user_000161,claude_with_history,2,0.2,0.21398626473452756,0.5,58.0,0.1,0.7,1012.0,43.0,2.013395309448242,True
